Testing MongoDB's I/O performance
Run Number 1:
Insert Time: 0.524523019791 seconds
Remove Time: 0.000114917755127 seconds
Insert Time: 0.930248498917 seconds
Remove Time: 0.000146150588989 seconds
Insert Time: 1.3871178627 seconds
Remove Time: 0.000154972076416 seconds
Insert Time: 1.84311747551 seconds
Remove Time: 0.000218868255615 seconds
Insert Time: 2.15500259399 seconds
Remove Time: 0.000253915786743 seconds
Insert Time: 3.29743504524 seconds
Remove Time: 0.000291109085083 seconds
Insert Time: 3.26994037628 seconds
Remove Time: 0.000230073928833 seconds
Insert Time: 3.74715447426 seconds
Remove Time: 0.000288009643555 seconds
Insert Time: 4.14232087135 seconds
Remove Time: 0.000304937362671 seconds
Insert Time: 4.69967651367 seconds
Remove Time: 0.00029182434082 seconds
Run Number 2:
Insert Time: 0.81099319458 seconds
Remove Time: 0.000123023986816 seconds
Insert Time: 0.840390205383 seconds
Remove Time: 0.000185966491699 seconds
Insert Time: 1.28730130196 seconds
Remove Time: 0.000227928161621 seconds
Insert Time: 1.71996307373 seconds
Remove Time: 0.000239133834839 seconds
Insert Time: 7.94687628746 seconds
Remove Time: 0.00030779838562 seconds
Insert Time: 17.3287444115 seconds
Remove Time: 0.0002601146698 seconds
Insert Time: 6.03408455849 seconds
Remove Time: 0.000302076339722 seconds
Insert Time: 3.68915724754 seconds
Remove Time: 0.000284910202026 seconds
Insert Time: 4.02001643181 seconds
Remove Time: 0.000283002853394 seconds
Insert Time: 4.62461400032 seconds
Remove Time: 0.000301122665405 seconds
Run Number 3:
Insert Time: 0.818382501602 seconds
Remove Time: 0.000133991241455 seconds
Insert Time: 0.831837415695 seconds
Remove Time: 0.000143051147461 seconds
Insert Time: 1.28069353104 seconds
Remove Time: 0.000224113464355 seconds
Insert Time: 1.66566729546 seconds
Remove Time: 0.000242948532104 seconds
Insert Time: 2.07176327705 seconds
Remove Time: 0.000271081924438 seconds
Insert Time: 2.537140131 seconds
Remove Time: 0.000262022018433 seconds
Insert Time: 5.86830925941 seconds
Remove Time: 0.000220060348511 seconds
Insert Time: 38.5490021706 seconds
Remove Time: 0.000281095504761 seconds
Insert Time: 12.1059176922 seconds
Remove Time: 0.000287055969238 seconds
Insert Time: 4.52070379257 seconds
Remove Time: 0.000252962112427 seconds
Run Number 4:
Insert Time: 0.414869070053 seconds
Remove Time: 0.000123023986816 seconds
Insert Time: 1.12255573273 seconds
Remove Time: 0.00016713142395 seconds
Insert Time: 1.28283786774 seconds
Remove Time: 0.000227928161621 seconds
Insert Time: 1.72301077843 seconds
Remove Time: 0.000256061553955 seconds
Insert Time: 2.58059072495 seconds
Remove Time: 0.000224828720093 seconds
Insert Time: 22.4995565414 seconds
Remove Time: 0.0002601146698 seconds
Insert Time: 3.01781058311 seconds
Remove Time: 0.000222206115723 seconds
Insert Time: 3.48766756058 seconds
Remove Time: 0.000283002853394 seconds
Insert Time: 3.97540640831 seconds
Remove Time: 0.000302076339722 seconds
Insert Time: 5.27704668045 seconds
Remove Time: 0.000248908996582 seconds
Run Number 5:
Insert Time: 0.712493419647 seconds
Remove Time: 0.000118970870972 seconds
Insert Time: 2.61931300163 seconds
Remove Time: 0.000572919845581 seconds
Insert Time: 2.63642883301 seconds
Remove Time: 0.000217914581299 seconds
Insert Time: 2.94927668571 seconds
Remove Time: 0.000192880630493 seconds
Insert Time: 3.33646845818 seconds
Remove Time: 0.000256061553955 seconds
Insert Time: 2.55181145668 seconds
Remove Time: 0.000214099884033 seconds
Insert Time: 5.78629660606 seconds
Remove Time: 0.000241041183472 seconds
Insert Time: 10.7717094421 seconds
Remove Time: 0.000239849090576 seconds
Insert Time: 3.92899465561 seconds
Remove Time: 0.000287055969238 seconds
Insert Time: 5.50894451141 seconds
Remove Time: 0.000269889831543 seconds
